,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text_tokens,text_lemmas
0,1515461690023886854,1515446982411759627,1650149197000.0,2022-04-16 17:46:37,-0500,,@eunique She's such a considerate Princess 😍,en,[],[],31348171,31348171,gsurgeon,Jadah 📚,6,17,https://twitter.com/gsurgeon/status/1515461690023886854,[],[],0,,False,0,0,0,,considerate,,,,,,,"[{'screen_name': 'eunique', 'name': 'Eunique’s Playing #CultureTags', 'id': '20030478'}]",,,,,"['eunique', 'shes', 'princess']","['eunique', ""'s"", 'princess', '😍']"
1,1515461598428639235,1515461598428639235,1650149175000.0,2022-04-16 17:46:15,-0500,,"Aw, Anya is such a little sweetheart, kid her age so mindful and considerate of others. This show is great  #SPY_FAMILY #SPYxFamily  https://t.co/Ir3L3FWm6p",en,"['spy_family', 'spyxfamily']",[],1262753221816184843,1262753221816184843,Nephuuuu,Nephuuuu,6,17,https://twitter.com/Nephuuuu/status/1515461598428639235,[],['https://pbs.twimg.com/media/FQgALWqVsAAhTx7.jpg'],1,https://pbs.twimg.com/media/FQgALWqVsAAhTx7.jpg,False,0,0,0,,considerate,,,,,,,[],,,,,"['anya', 'little', 'sweetheart', 'kid', 'age', 'mindful', 'others', 'show', 'great', 'spyfamily', 'spyxfamily', 'httpstcoir3l3fwm6p']","['aw', 'anya', 'little', 'sweetheart', 'kid', 'age', 'mindful', 'others', 'show', 'great', 'spy_family', 'spyxfamily', 'http', '//t.co/ir3l3fwm6p']"
2,1515461598021926917,1515461598021926917,1650149175000.0,2022-04-16 17:46:15,-0500,,considerate central vacuum cleaner makes you plastered,en,[],[],824552336597143552,824552336597143552,szpara666,szpara666,6,17,https://twitter.com/szpara666/status/1515461598021926917,[],[],0,,False,0,0,0,,considerate,,,,,,,[],,,,,"['central', 'vacuum', 'cleaner', 'makes', 'plastered']","['central', 'vacuum', 'cleaner', 'make', 'plaster']"
3,1515461571106861058,1515455205428453383,1650149169000.0,2022-04-16 17:46:09,-0500,,"@Etna_Crimson Just thought about this cuz how low ur voice is lol  Etna's being considerate, so thank you for being family frenly n considerate",en,[],[],1045201941771444224,1045201941771444224,ariqFTR,Ariq Fajar,6,17,https://twitter.com/ariqFTR/status/1515461571106861058,[],[],0,,False,0,0,0,,considerate,,,,,,,"[{'screen_name': 'Etna_Crimson', 'name': 'Etna Crimson 🌋🍔 NIJISANJI', 'id': '1290243331629318144'}]",,,,,"['etnacrimson', 'thought', 'cuz', 'low', 'voice', 'lol', 'etnas', 'thank', 'family', 'frenly']","['etna_crimson', 'thought', 'cuz', 'low', 'ur', 'voice', 'lol', 'etna', ""'s"", 'thank', 'family', 'frenly', 'n']"
5,1515461132298956808,1515317030894854146,1650149064000.0,2022-04-16 17:44:24,-0500,,@DCDoc33 But some people understand it for what it is.  I encourage patients and friends to still be prudent and considerate.  And it does work.   Push back with calm good advice.,en,[],[],1157492867939651586,1157492867939651586,JimLakeview,LakeviewJim,6,17,https://twitter.com/JimLakeview/status/1515461132298956808,[],[],0,,False,0,0,0,,considerate,,,,,,,"[{'screen_name': 'DCDoc33', 'name': 'Ida Bergstrom, MD', 'id': '1085590218328195073'}]",,,,,"['dcdoc33', 'people', 'understand', 'encourage', 'patients', 'friends', 'still', 'prudent', 'work', 'push', 'back', 'calm', 'good', 'advice']","['dcdoc33', 'people', 'understand', 'encourage', 'patient', 'friend', 'still', 'prudent', 'work', 'push', 'back', 'calm', 'good', 'advice']"
6,1515460562049769476,1515460562049769476,1650148928000.0,2022-04-16 17:42:08,-0500,,i love when my sisters and my cousin hang out and have a separate group chat without me and never include me in anything 😍😍😍😍😍 and they invite my sister’s girlfriend before they invite me 😍😍😍😍 so sweet and considerate of them🫶❤️‍🔥,en,[],[],1395178248871550980,1395178248871550980,murderballs123,irene | 105 days until gvf and mar!,6,17,https://twitter.com/murderballs123/status/1515460562049769476,[],[],0,,False,0,1,0,,considerate,,,,,,,[],,,,,"['love', 'sisters', 'cousin', 'hang', 'separate', 'group', 'chat', 'without', 'never', 'include', 'anything', '😍😍😍😍😍', 'invite', 'sister', 'girlfriend', 'invite', '😍😍😍😍', 'sweet', 'them\U0001faf6❤️\u200d🔥']","['love', 'sister', 'cousin', 'hang', 'separate', 'group', 'chat', 'without', 'never', 'include', 'anything', '😍😍😍😍😍', 'invite', 'sister', '’', 'girlfriend', 'invite', '😍😍😍😍', 'sweet', 'them\U0001faf6❤️\u200d🔥']"
7,1515460515069313025,1515420210844602373,1650148917000.0,2022-04-16 17:41:57,-0500,,"@FarooqTariq3 @HamidMirPAK That’s called being sensitive and considerate, but you lot wouldn’t know!  #امپورٹڈ_حکومت_نامنظور",en,['امپورٹڈ_حکومت_نامنظور'],[],1474298986139996172,1474298986139996172,Soak_Bloke,Adulterated Holy,6,17,https://twitter.com/Soak_Bloke/status/1515460515069313025,[],[],0,,False,1,0,0,,considerate,,,,,,,"[{'screen_name': 'FarooqTariq3', 'name': 'Farooq Tariq', 'id': '428904461'}, {'screen_name': 'HamidMirPAK', 'name': 'Hamid Mir', 'id': '213539531'}]",,,,,"['farooqtariq3', 'hamidmirpak', 'called', 'lot', 'know', 'امپورٹڈحکومتنامنظور']","['farooqtariq3', 'hamidmirpak', '’', 'call', 'lot', '’', 'know', 'امپورٹڈ_حکومت_نامنظور']"
8,1515460355249655813,1515405195831910407,1650148879000.0,2022-04-16 17:41:19,-0500,,@wadersrhard What a great night!,en,[],[],1146374650966040576,1146374650966040576,birdering,The Considerate Birders,6,17,https://twitter.com/birdering/status/1515460355249655813,[],[],0,,False,0,0,0,,considerate,,,,,,,"[{'screen_name': 'wadersrhard', 'name': 'limdrive91', 'id': '1238907689402601474'}]",,,,,"['wadersrhard', 'great', 'night']","['wadersrhard', 'great', 'night']"
9,1515459923697676288,1515459923697676288,1650148776000.0,2022-04-16 17:39:36,-0500,,Your effort to be more considerate didn’t go unnoticed 😉,en,[],[],1279009812571926528,1279009812571926528,downterrible,Wuudee,6,17,https://twitter.com/downterrible/status/1515459923697676288,[],[],0,,False,0,0,0,,considerate,,,,,,,[],,,,,"['effort', 'unnoticed']","['effort', '’', 'go', 'unnoticed', '😉']"
11,1515458708934848516,1515458708934848516,1650148486000.0,2022-04-16 17:34:46,-0500,,"In grad school we lived beneath a bunch of students who were in a group like this, and they were far and away the least considerate neighbors we’ve ever had.",en,[],[],173549370,173549370,thermochronic,James Metcalf,6,17,https://twitter.com/thermochronic/status/1515458708934848516,[],[],0,,False,1,0,0,https://twitter.com/davenewworld_2/status/1515284320184934403,considerate,,,,,,,[],,,,,"['grad', 'school', 'lived', 'beneath', 'bunch', 'students', 'group', 'like', 'far', 'away', 'least', 'neighbors', 'ever']","['grad', 'school', 'live', 'beneath', 'bunch', 'student', 'group', 'like', 'far', 'away', 'least', 'neighbor', '’', 'ever']"
